ducharse	🚿 shower / take a shower	例句：Voy a ducharme. 我要去洗澡<br>词源：ducha ← 法语 douche ← 拉丁 ducere（引导水流）<br>记忆：ducha=淋浴→ducharse=洗淋浴
portada	📖 cover / front page	例句：la portada del libro 书封面<br>词源：portar（携带）相关<br>记忆：最外层
triunfo	🏆 triumph / victory	例句：un gran triunfo 巨大的成功<br>词源：拉丁 triumphus（凯旋）<br>记忆：赢得胜利
rueda de prensa	🎤 press conference	例句：dar una rueda de prensa 举行新闻发布会<br>词源：rueda（圆圈）+prensa（新闻）<br>记忆：媒体围着采访
cemento	🏗️ cement	例句：una pared de cemento 水泥墙<br>词源：拉丁 caementum（碎石）<br>记忆：建房材料
ladrillo	🧱 brick	例句：una pared de ladrillos 砖墙<br>词源：拉丁 laterculus（小砖）<br>记忆：砌墙
buhardilla	🏠 attic / loft	例句：vivir en una buhardilla 住在阁楼<br>词源：与屋顶结构有关<br>记忆：屋顶里的房间
escoba	🧹 broom	例句：barrer con una escoba 用扫帚扫<br>词源：拉丁 scopa（扫帚）<br>记忆：扫地
fregona	🧽 mop	例句：pasar la fregona 拖地<br>词源：来自 fregar（擦洗）<br>记忆：拖地工具
trapo	🧻 rag / cloth	例句：limpiar con un trapo 用抹布清洁<br>词源：拉丁 trappus<br>记忆：擦东西
bombilla	💡 light bulb	例句：cambiar una bombilla 换灯泡<br>词源：bomba（球状）+ -illa<br>记忆：发光的小球
linterna	🔦 flashlight / torch	例句：usar una linterna 使用手电筒<br>词源：拉丁 lanterna<br>记忆：黑暗照明
caja fuerte	🔐 safe	词源：caja（箱子）+fuerte（坚固）<br>记忆：坚固的箱子
domiciliar	🏦 direct debit / register	例句：domiciliar un pago 设置自动付款<br>词源：domicilio（住所）拉丁 domus（家）<br>记忆：钱从账户自动走
delito	⚖️ crime / offense	例句：cometer un delito 犯罪<br>词源：拉丁 delictum（过错）<br>记忆：违法
farola	🌃 street lamp	例句：una farola de la calle 街灯<br>词源：来自 faro（灯塔）<br>记忆：夜晚照明
albornoz	🚿 bathrobe	词源：阿拉伯 al-burnūs（斗篷）<br>记忆：洗澡后穿
cremallera	🧥 zipper	例句：subir la cremallera 拉上拉链<br>词源：来自 cremar（咬合）<br>记忆：开合工具
hilo	🧵 thread / string	例句：hilo de algodón 棉线<br>词源：拉丁 filum<br>记忆：缝纫线
percha	👔 hanger	例句：colgar la chaqueta en la percha<br>词源：拉丁相关词<br>记忆：挂衣服
arrugado	👕 wrinkled	例句：una camisa arrugada 皱巴巴的衬衫<br>词源：来自 arrugar（弄皱）<br>记忆：不平整
escayolar	🦴 put in a cast	例句：escayolar un brazo 给手臂打石膏<br>词源：escayola（石膏）<br>记忆：骨折固定
mareos	🤢 dizziness	例句：tener mareos 头晕<br>词源：来自 mar（海）原指晕船<br>记忆：头晕
náuseas	🤢 nausea	词源：希腊 nausía（晕船）<br>记忆：胃不舒服
vomitar	🤮 vomit / throw up	例句：vomitar después de beber 喝酒后呕吐<br>词源：拉丁 vomitare<br>记忆：吐
mancha	🟤 stain / spot	例句：una mancha de café 咖啡渍<br>词源：拉丁相关词<br>记忆：脏点
grano	🔴 pimple / grain	例句：tener granos 长痘<br>词源：拉丁 granum（谷粒）<br>记忆：小颗粒
albergue	🏕️ hostel / shelter	例句：albergue juvenil 青年旅舍<br>词源：日耳曼 haribergō<br>记忆：临时住宿
acampar	⛺ camp	例句：acampar en la montaña 在山里露营<br>词源：来自 campo（田野）<br>记忆：户外过夜
peatón	🚶 pedestrian	例句：paso de peatones 人行横道<br>词源：法语 piéton 拉丁 pes（脚）<br>记忆：走路的人
vientre	🫃 belly / abdomen	例句：dolor de vientre 肚子疼<br>词源：拉丁 venter（腹部）<br>记忆：身体内部的腹部
ombligo	👶 navel / belly button	词源：拉丁 umbilicus<br>记忆：出生留下的小圆点
puño	✊ fist / cuff	例句：cerrar el puño 握拳<br>词源：拉丁 pugnus（拳）<br>记忆：握紧的手
pulgar	👍 thumb	例句：dedo pulgar 拇指<br>词源：拉丁 pollex<br>记忆：点赞的手指
cráneo	💀 skull / cranium	词源：希腊 kranion<br>记忆：头部骨架
vértebra	🦴 vertebra	例句：columna vertebral 脊柱<br>词源：拉丁 vertebra<br>记忆：脊椎一节
peca	🟤 freckle	例句：tener pecas 有雀斑<br>词源：拉丁相关词<br>记忆：小斑点
caspa	❄️ dandruff	例句：champú anticaspa 去屑洗发水<br>词源：拉丁相关词<br>记忆：头上的小雪花
corpulento	💪 corpulent / large-bodied	例句：un hombre corpulento 魁梧的男人<br>词源：corpus（身体）+ -ulento<br>记忆：身体很大
robusto	🌳 robust / strong	例句：una salud robusta 强健的健康<br>词源：拉丁 robustus（橡树般坚硬）<br>记忆：像树一样强壮
tiritar	🥶 shiver / tremble	例句：tiritar de frío 冷得发抖<br>词源：拟声词<br>记忆：冷得抖
fallecido	⚰️ deceased	例句：el fallecido 逝者<br>词源：来自 fallar（停止）<br>记忆：正式说去世
austero	🪵 austere / plain	例句：una vida austera 简朴的生活<br>词源：希腊 austēros（严厉）<br>记忆：简单克制
prepotente	👑 arrogant / overbearing	例句：un jefe prepotente 专横的老板<br>词源：pre-+potente<br>记忆：仗势欺人
versátil	🔄 versatile	例句：un jugador versátil 全能球员<br>词源：拉丁 versatilis（可转动）<br>记忆：能变化
humilde	🌱 humble	例句：una persona humilde 谦虚的人<br>词源：拉丁 humilis（低的）<br>记忆：贴近土地
ira	🔥 anger / wrath	例句：lleno de ira 满腔怒火<br>词源：拉丁 ira<br>记忆：强烈愤怒
piedad	❤️ pity / mercy	例句：tener piedad 怜悯<br>词源：拉丁 pietas（责任虔诚）<br>记忆：同情心
alucinar	🤯 hallucinate / be amazed	例句：Estoy alucinando. 我惊呆了<br>词源：拉丁 alucinari<br>记忆：大脑强烈体验
enorgullecerse	🏆 be proud	例句：enorgullecerse de sus hijos 为孩子骄傲<br>词源：en-+orgullo（骄傲）<br>记忆：心里骄傲
envidiar	👀 envy	例句：envidiar a alguien 嫉妒某人<br>词源：拉丁 invidere（敌意地看）<br>记忆：盯着别人的拥有
desanimarse	⬇️ get discouraged	例句：No te desanimes. 别灰心<br>词源：des-+ánimo（精神）<br>记忆：动力消失
fatigarse	😫 get tired	例句：fatigarse después de correr 跑后疲劳<br>词源：拉丁 fatigare<br>记忆：累了
ruborizarse	😊 blush	例句：ruborizarse de vergüenza 羞红脸<br>词源：拉丁 rubor（红色）<br>记忆：脸变红
caradura	😏 shameless / cheeky	例句：¡Qué caradura! 真不要脸<br>词源：cara（脸）+dura（硬）<br>记忆：脸皮厚
gafe	🍀❌ jinx / unlucky person	例句：ser gafe 很倒霉<br>词源：西班牙俚语<br>记忆：运气不好
padrastro	👨 stepfather	词源：padre（父亲）相关<br>记忆：非亲生父亲
madrastra	👩 stepmother	词源：madre（母亲）相关<br>记忆：非亲生母亲
padrino	⛪ godfather / sponsor	词源：padre+ -ino<br>记忆：仪式上的保护人
madrina	⛪ godmother / sponsor	词源：padrino 女性形式<br>记忆：女性保护人
manipular	✋ manipulate / handle	例句：manipular información 操纵信息<br>词源：拉丁 manus（手）<br>记忆：用手控制
malcriar	👶 spoil / pamper	例句：malcriar a un niño 宠坏孩子<br>词源：mal（坏）+criar（养育）<br>记忆：宠爱过度
huésped	🏨 guest	例句：los huéspedes del hotel 酒店住客<br>词源：拉丁 hospes（客人主人）<br>记忆：被接待的人
anfitrión	🏠 host	例句：un buen anfitrión 好主人<br>词源：希腊神话 Anfitrión<br>记忆：招待别人的人
glotón	🍖 glutton	例句：un niño glotón 贪吃的孩子<br>词源：拉丁 glutto（贪吃者）<br>记忆：吃很多
sorber	🥤 sip / slurp	例句：sorber una sopa 喝汤<br>词源：拉丁 sorbere（吸入）<br>记忆：小口喝
catar	🍷 taste	例句：catar un vino 品酒<br>词源：拉丁 captare（捕捉尝试）<br>记忆：专门品鉴
codorniz	🐦 quail	词源：拉丁相关词<br>记忆：小鸟
alubias	🫘 beans	词源：阿拉伯 al-lubiya<br>记忆：西班牙常见豆类
frijoles	🫘 beans	词源：拉丁 phaseolus<br>记忆：拉美版豆子
gajo	🍊 segment / wedge	例句：un gajo de naranja 一瓣橙子<br>词源：树枝的小分叉<br>记忆：橘子瓣
corteza	🌳 crust / bark	例句：corteza de pan 面包皮<br>词源：拉丁 cortex（树皮）<br>记忆：外层保护
rodaja	🍋 slice	例句：una rodaja de limón 一片柠檬<br>词源：来自 rueda（轮子）<br>记忆：圆形切片
pedazo	🧩 piece / chunk	例句：un pedazo de pan 一块面包<br>词源：拉丁 pitacium（碎片）<br>记忆：一块东西
escurrir	💧 drain	例句：escurrir la pasta 沥干意面<br>词源：拉丁相关词<br>记忆：让水流走
empalagoso	🍰 overly sweet / cloying	例句：un postre empalagoso 很甜腻的甜点<br>词源：来自 empalagar（使厌烦）<br>记忆：甜过头
acidez	🔥 acidity / heartburn	例句：tener acidez de estómago 胃酸<br>词源：ácido+ -ez<br>记忆：胃里发酸
vajilla	🍽️ tableware / dishes	例句：lavar la vajilla 洗餐具<br>词源：vaso（杯子）相关<br>记忆：吃饭用具
colador	🍝 strainer / colander	例句：un colador de pasta 意面滤网<br>词源：colar（过滤）+ -dor<br>记忆：过滤水
tasca	🍺 tavern / small bar	例句：una tasca tradicional 传统小酒馆<br>词源：古西班牙语<br>记忆：小店喝酒
chiringuito	🏖️ beach bar / kiosk	词源：古巴西语<br>记忆：海边小店
discípulo	📚 disciple / student	例句：discípulo de un maestro 师傅的弟子<br>词源：拉丁 discipulus<br>记忆：跟随学习
taller	🔧 workshop	例句：taller mecánico 汽车修理店<br>词源：法语 atelier<br>记忆：动手工作的地方
chucherías	🍬 sweets / snacks / trinkets	例句：comprar chucherías 买零食<br>词源：来自 chuchería<br>记忆：小吃
retribución	💰 remuneration	例句：retribución económica 经济报酬<br>词源：拉丁 retribuere（回报）<br>记忆：工作所得
dimitir	🚪 resign	例句：dimitir como presidente 辞去主席职务<br>词源：拉丁 dimittere（放弃）<br>记忆：离开岗位
trasnochar	🌙 stay up late	例句：trasnochar estudiando 熬夜学习<br>词源：tras（超过）+noche（夜晚）<br>记忆：夜晚拖延
grada	🏟️ stands / bleachers	例句：sentarse en la grada 坐看台<br>词源：与 grado（层级）有关<br>记忆：观众席
palco	🎭 box / VIP section	词源：意大利 palco<br>记忆：高级观看区
torneo	🏆 tournament	词源：法语 tournoi<br>记忆：多场竞争
certamen	🥇 contest / competition	例句：certamen literario 文学比赛<br>词源：拉丁 certamen（竞争）<br>记忆：正式竞赛
adversario	⚔️ adversary	词源：拉丁 adversarius（相反的一方）<br>记忆：对立者
oponente	🆚 opponent	词源：拉丁 opponere（放在对面）<br>记忆：对面的人
hormigón	🏗️ concrete	例句：hormigón armado 钢筋混凝土<br>词源：拉丁相关词<br>记忆：建筑主体
chabola	🛖 shack / hut	词源：巴斯克 txabola（小屋）<br>记忆：简陋房子
choza	🛖 hut / shack	例句：vivir en una choza 住在小屋里<br>词源：拉丁相关词<br>记忆：简单住所
estropajo	🧽 scouring pad / scrubber	例句：fregar con un estropajo 用百洁布刷洗<br>词源：古西班牙语<br>记忆：擦洗工具
lejía	🧴 bleach	例句：limpiar con lejía 用漂白剂清洁<br>词源：拉丁 lixiva（洗涤液）<br>记忆：消毒清洁
frotar	✋ rub / scrub	例句：frotar una mancha 擦污渍<br>词源：拉丁 fricare（摩擦）<br>记忆：来回擦
aclarar	💧 rinse / clarify	例句：aclarar la ropa 冲洗衣服<br>词源：a-+claro（清楚）<br>记忆：变清楚
camilla	🚑 stretcher / medical cot	词源：法语 camille<br>记忆：急救搬运
vitrina	🪟 display case / showcase	例句：una vitrina de una tienda 商店橱窗<br>词源：拉丁 vitrum（玻璃）<br>记忆：玻璃展示
devolución	🔄 return / refund	例句：pedir una devolución 要求退款<br>词源：来自 devolver（归还）<br>记忆：返回
aval	🤝 guarantee / surety	例句：necesitar un aval para alquilar 租房需要担保<br>词源：法语 aval<br>记忆：背书保证
arresto	🚓 arrest	例句：orden de arresto 逮捕令<br>词源：拉丁 restare（停留）<br>记忆：被抓
detención	⛓️ detention	例句：detención policial 警方拘留<br>词源：拉丁 detinere<br>记忆：被限制
interrogatorio	❓ interrogation	例句：un interrogatorio policial 警方审讯<br>词源：拉丁 interrogare（询问）<br>记忆：连续提问
auxilio	🆘 aid / help	例句：pedir auxilio 求助<br>词源：拉丁 auxilium<br>记忆：救助
socorrer	🚑 rescue / assist	例句：socorrer a una víctima 救助受害者<br>词源：拉丁 succurrere（跑去帮助）<br>记忆：及时帮助
vertedero	🗑️ landfill / dump	词源：verter（倾倒）+ -dero<br>记忆：垃圾集中地
alumbrado	💡 lighting	例句：alumbrado público 公共照明<br>词源：alumbrar（照亮）<br>记忆：光
alcantarillado	🌧️ sewer system	词源：阿拉伯 al-qantara（桥通道）<br>记忆：排水
mostrador	🏪 counter / reception desk	例句：en el mostrador 在柜台<br>词源：mostrar+ -dor<br>记忆：服务台
estante	📚 shelf	例句：un estante de libros 书架<br>词源：拉丁 stantem（站立）<br>记忆：放物品
encargado	👤 manager / person in charge	例句：el encargado de la tienda 店长<br>词源：en-+cargo（职责）<br>记忆：负责的人
proveedor	📦 supplier / provider	词源：proveer（提供）<br>记忆：提供东西
subastar	🔨 auction	例句：subastar una casa 拍卖房子<br>词源：sub+asta（长矛）<br>记忆：竞价出售
adquirir	📈 acquire	例句：adquirir experiencia 获得经验<br>词源：拉丁 acquirere<br>记忆：获得
costear	💰 finance / cover the cost	例句：costear los gastos 支付费用<br>词源：costo（成本）<br>记忆：出钱
desembolsar	👛 pay out / spend	例句：desembolsar mucho dinero 花很多钱<br>词源：des-+bolsa（钱包）<br>记忆：钱袋拿出来
malgastar	❌ waste	例句：malgastar dinero 浪费钱<br>词源：mal+gastar（花费）<br>记忆：白花钱
recaída	🔄 relapse	例句：tener una recaída 病情复发<br>词源：re-+caer（掉落）<br>记忆：又倒下
esguince	🦶 sprain	例句：un esguince de tobillo 脚踝扭伤<br>词源：古法语<br>记忆：扭到
cicatrizar	🩹 heal / scar	例句：la herida cicatriza 伤口愈合<br>词源：cicatriz（疤痕）<br>记忆：伤口恢复
picor	🦟 itch	例句：tener picor en la piel 皮肤痒<br>词源：来自 picar（刺痒）<br>记忆：想抓
trastorno	⚠️ disorder	例句：trastorno mental 精神障碍<br>词源：tras-+tornar（转变）<br>记忆：系统失衡
cabello	💇 hair	例句：tener el cabello largo 留长发<br>词源：拉丁 capillus（头发）<br>记忆：正式说法的头发
brújula	🧭 compass	例句：usar una brújula 使用指南针<br>词源：意大利 bussola<br>记忆：指方向
derrape	🚗 skid	例句：un derrape del coche 汽车打滑<br>词源：来自 derrapar（滑动）<br>记忆：轮胎滑动
pinchazo	🛞 puncture / prick	例句：tener un pinchazo 爆胎<br>词源：来自 pinchar（刺扎）<br>记忆：被扎破
empujar	✋ push	例句：empujar una puerta 推门<br>词源：拉丁相关词<br>记忆：向前推
remolcar	🚙 tow	例句：remolcar un coche 拖车<br>词源：拉丁 remulcare<br>记忆：拉走
rentabilizar	📈 make profitable	例句：rentabilizar una inversión 让投资盈利<br>词源：renta（收益）<br>记忆：赚钱效率
contribuyente	💰 taxpayer / contributor	例句：los contribuyentes pagan impuestos<br>词源：contribuir（贡献）<br>记忆：缴税的人
lema	🏳️ motto / slogan	例句：el lema de la empresa 公司口号<br>词源：希腊 lēmma（主题）<br>记忆：代表精神的话
patrocinar	💵 sponsor	例句：patrocinar un evento 赞助活动<br>词源：拉丁 patronus（保护人）<br>记忆：背后支持
gerente	👔 manager	例句：gerente de una empresa 公司经理<br>词源：拉丁 gerere（管理）<br>记忆：管理岗位
recolección	📦 collection / gathering	例句：recolección de basura 垃圾收集<br>词源：recoger（收集）<br>记忆：收起来
finca	🌳 estate / farm	例句：una finca agrícola 农场<br>词源：来自 fincar（固定）<br>记忆：一大片土地
huerta	🥕 vegetable garden / orchard	例句：trabajar en la huerta 在菜园工作<br>词源：拉丁 hortus（花园）<br>记忆：种菜地方
establo	🐴 stable	例句：un establo de caballos 马厩<br>词源：拉丁 stabulum<br>记忆：动物房
manada	🐺 herd / pack	例句：una manada de lobos 一群狼<br>词源：mano（手）相关<br>记忆：动物群
rebaño	🐑 flock / herd	例句：un rebaño de ovejas 一群羊<br>词源：拉丁相关词<br>记忆：羊群
sembrar	🌱 sow / plant	例句：sembrar trigo 播种小麦<br>词源：拉丁 seminare<br>记忆：撒种
cosechar	🌾 harvest	例句：cosechar arroz 收割水稻<br>词源：cosecha（收成）<br>记忆：收获成果
jerarquía	📊 hierarchy	例句：jerarquía empresarial 企业等级<br>词源：希腊 hierarchia<br>记忆：上下等级
soborno	💵 bribe	例句：aceptar un soborno 收受贿赂<br>词源：古西班牙语<br>记忆：非法送钱
himno	🎵 anthem / hymn	例句：himno nacional 国歌<br>词源：希腊 hymnos<br>记忆：庄严歌曲
trama	📖 plot / storyline	例句：la trama de una novela 小说情节<br>词源：拉丁 trama（织物经线）<br>记忆：故事线
intriga	🕵️ intrigue	例句：una película llena de intriga 充满悬疑的电影<br>词源：拉丁 intricare（使复杂）<br>记忆：神秘计划
desmayarse	😵 faint / pass out	例句：Se desmayó por el calor. 因炎热晕倒<br>词源：来自 mayo 相关变化<br>记忆：突然失去意识
píldora	💊 pill / tablet	例句：tomar una píldora 吃一片药<br>词源：拉丁 pilula（小球）<br>记忆：小药丸
dosificar	⚖️ dose / regulate dosage	例句：dosificar un medicamento 控制药物剂量<br>词源：dosis（剂量）<br>记忆：控制多少
ingerir	🍽️ ingest / consume	例句：ingerir alimentos 摄入食物<br>词源：拉丁 ingerere（放入）<br>记忆：放进身体
vello	🧔 body hair / fine hair	例句：vello corporal 体毛<br>词源：拉丁 villus（绒毛）<br>记忆：不是头发，是身体上的毛
